artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
Kotak,Terbaik,Kecuali Kamu,5FUcUIEl6XC6EkoQeJhES8,0.461,0.47,-7.016,0.0303,4.35E-05,0.115,0.078,134.018,261120,classic indonesian rock
Cokelat,Rasa Baru,Karma,6IAv4Bu6C6DtpKuNOEVven,0.403,0.806,-7.363,0.0588,0,0.105,0.405,108.904,220307,classic indonesian rock
Dewa 19,Kerajaan Cinta,Laskar Cinta - Chapter One,5kctXBO1yS6oj5xxiRsjto,0.752,0.886,-6.021,0.03,0,0.602,0.968,120.014,244088,classic indonesian rock
Barasuara,Taifun,Bahas Bahasa,6atraFGvJAsnmAxIZa4kLh,0.501,0.654,-6.331,0.0376,0.00267,0.184,0.188,137.914,268854,indonesian indie
Dewa 19,Kerajaan Cinta,Sedang Ingin Bercinta,7gYhjTp1emea0mj6ogGI0U,0.704,0.917,-7.661,0.102,0.000248,0.0715,0.948,170.018,240001,classic indonesian rock
Wali,Doa'In Ya Penonton,Ada Gajah Dibalik Batu,6ifHiuoMDAwUigySNxCmaG,0.734,0.75,-6.264,0.0312,4.39E-06,0.122,0.763,135.005,275002,dangdut
Kangen Band,Cinta Sampai Mati,Cinta Sampai Mati,7itG6U56KSXtuS7e5Hsb0M,0.621,0.444,-7.018,0.0244,2.02E-06,0.0988,0.326,99.95,223385,dangdut
Via Vallen,Sayang,Sayang,1cs5LFOcznflbTzEKDPXCx,0.77,0.755,-5.336,0.0546,0,0.15,0.904,140.01,306112,dangdut
Dewa,Cintailah Cinta,Pupus,7ADK1rnMzP6PGWhoqWirBJ,0.506,0.595,-6.735,0.0326,0,0.088,0.39,139.544,305907,classic indonesian rock
Barasuara,Taifun,Nyala Suara,2pIUYHViYAWpUpMJD4nwdi,0.39,0.796,-5.621,0.0417,0.79,0.0504,0.475,103.385,298332,indonesian indie
Cokelat,Rasa Baru,Luka Lama,4jkUGQkxRJm3s8IpyOcM1l,0.565,0.76,-8.503,0.0412,0.00019,0.0601,0.781,89.464,234200,classic indonesian rock
Dewa,Laskar Cinta,Cinta Gila,7Hz0O0qybNibm4uv58zbhp,0.631,0.848,-6.468,0.0419,0.0119,0.0545,0.793,105.009,311293,classic indonesian rock
Andra & The Backbone,Andra and the Backbone,Musnah,2cla6KYYJ4xYVB6RV7B5Ef,0.608,0.722,-5.658,0.0382,4.24E-06,0.118,0.326,104.977,240280,classic indonesian rock
Astrid,Terpukau,Mendua,5g7TAIGfB6vgbaX8AH19FG,0.472,0.401,-5.201,0.0265,0,0.269,0.271,135.888,250000,dangdut
Base Jam,Base Jam 3,Bukan Pujangga,6D5MMHgNrQqGCtm4CjN9nJ,0.675,0.67,-8.679,0.0289,8.56E-06,0.0915,0.696,88.033,248253,classic indonesian rock
Garasi,GARASI,Hilang,4jGcWKNR9qNw45wCGk9X6A,0.612,0.805,-7.5,0.0267,3.98E-05,0.31,0.535,96.004,292347,classic indonesian rock
Cita Citata,Goyang Dumang,Meriang,4soYTiv5v7E7vnMVZKvY8Q,0.687,0.946,-9.292,0.044,0.359,0.32,0.962,139.994,200619,dangdut
ST12,Pangeran Cinta,Dunia Pasti Berputar,3Q1zLPtQiQzHCltw5mSb7l,0.494,0.49,-7.61,0.027,2.79E-06,0.0935,0.245,119.899,231867,dangdut
Naif,The Best,Air & Api,0Z3E3USDNRILRhQBwy0ljP,0.702,0.868,-8.361,0.0398,4.45E-05,0.19,0.876,135.048,197813,indonesian indie
Zaskia Gotik,Gotik,1000 Alasan - Roy Funky Remix,6EgTxFssCuODMnp7RAHolH,0.478,0.97,-4.03,0.055,0.776,0.0529,0.82,180.023,406570,dangdut
Dewa 19,Kerajaan Cinta,Roman Picisan,5mdlNt45cArlwYhK8WSHKX,0.538,0.795,-5.922,0.0592,2.05E-05,0.361,0.606,159.539,245017,classic indonesian rock
Tashoora,"Hamba Jaring Cahaya, Hamba Bela Gelapnya",Terang,0UefXVTIGIpAPWwuDaLTii,0.524,0.637,-8.332,0.028,0.0693,0.312,0.334,141.964,396016,indonesian indie
Kunto Aji,Generation Y,Ekspektasi,5tm5hQWYbjG8WkcmbWpFL1,0.379,0.223,-7.645,0.0318,0,0.375,0.339,75.87,267510,indonesian indie
Slank,Get Married (Original Motion Picture Soundtrack),Kuil Cinta,0x3vlACsvp5KfR2aC8yr0J,0.336,0.486,-9.5,0.0488,6.94E-06,0.0736,0.458,178.899,216668,classic indonesian rock
The Rock,Master Mister Ahmad Dhani I,Kamu - Kamulah Surgaku,4wJd8nS7omG8K7efIafxw9,0.609,0.793,-5.87,0.027,2.11E-06,0.163,0.773,90.003,318299,classic indonesian rock
Siti Badriah,Lagi Syantik,Lagi Syantik,2whJ6VW0y0EGhp1XYElDCp,0.913,0.533,-7.028,0.0425,2.83E-05,0.0947,0.59,102.024,229436,dangdut
Slank,Get Married 2 (Original Motion Picture Soundtrack),Pandangan Pertama,3if6xX8iwOCeHVvOJCo04H,0.704,0.889,-5.475,0.0524,3.15E-05,0.0556,0.87,117.133,164973,classic indonesian rock
Slank,Unity And Respect,Kupu Biru,1ZyEVKorMT5oHTzv9PNa6T,0.702,0.907,-4.156,0.0414,0,0.0999,0.774,120.003,230320,classic indonesian rock
Kotak,Kotak Kedua,Masih Cinta,6ryK8cWzk89UBm42KLHAQU,0.566,0.616,-4.394,0.0322,0,0.184,0.177,148.044,245853,classic indonesian rock
Radja,Langkah Baru,Bulan,5iTK7e1rxAsQ9WI6IfmeIR,0.508,0.956,-5.93,0.0835,0,0.0315,0.636,149.71,240512,dangdut
Pinkan Mambo,Wanita Terindah,Kekasih Yang Tak Dianggap,10giEVZwuCrTu39N2vqLJH,0.557,0.687,-4.964,0.0281,0.00265,0.142,0.305,100.01,283480,dangdut
Radja,Selalu Ada,BBC - Benci Bilang Cinta,3i93yiUFq5TLA5mtqDAwa3,0.659,0.926,-4.58,0.0937,0,0.0659,0.417,109.948,281705,dangdut
Tere,Sebuah Harapan,Aku Patut Membenci Dia,02lD85byaBYbB6djuwBND5,0.464,0.674,-6.856,0.0301,8.74E-05,0.077,0.281,85.938,286067,classic indonesian rock
The Dance Company,The Dance Company,Coba Kau Bayangkan,2uJzHiQRXlo7jT8SHNbpau,0.587,0.815,-5.114,0.0336,0,0.142,0.534,113.007,220732,classic indonesian rock
Ebiet G. Ade,Album 6 Tokoh Tokoh,Untuk Kita Renungkan,3puPvATLhYOaZ6NXuR6gmf,0.537,0.338,-13.038,0.0322,0.00175,0.304,0.249,135.73,304646,dangdut
Gigi,"Peace, Love And Respect",11 Januari,2Ev8mNT9YHaUIELEKKf4ld,0.315,0.55,-5.649,0.0289,5.70E-04,0.101,0.333,69.241,212027,classic indonesian rock
Tere,Awal Yang Indah,Kesepian Kita (feat. Pas Band),5s3px69Q6O53XFILyIURl9,0.656,0.726,-7.168,0.0344,0.00259,0.0664,0.62,152.076,287800,classic indonesian rock
Astrid,Lihat Aku Sekarang,Tentang Rasa,73PIm6P5ruqBmcEVtzcop2,0.64,0.406,-6.444,0.0284,0,0.1,0.118,129.987,251227,dangdut
Slank,I Slank U,Cubit2an,2zP2g76GzdyP78saQJOWlj,0.444,0.75,-4.008,0.0572,1.39E-06,0.346,0.586,132.755,232572,classic indonesian rock
Seurieus,Rocker Juga Manusia,Rocker Juga Manusia,1AQYrVQfjeAxxHraqyEKzN,0.394,0.704,-3.471,0.0351,4.33E-06,0.29,0.279,144.197,281120,classic indonesian rock
Slank,Plur,Ku Tak Bisa,6cR3LxWz9Nx57EpZCaNGb4,0.35,0.388,-7.863,0.0298,0,0.13,0.275,140.215,263423,classic indonesian rock
Slank,Kampungan,Terlalu Manis - Suka Suka,6zouEyyNJqn0vDJ5tyi0kt,0.495,0.468,-7.832,0.0258,0,0.121,0.165,144.016,302476,classic indonesian rock
The Rock,Master Mister Ahmad Dhani I,Munajat Cinta,0yv6RSO1Ex95slXBDVJX0X,0.628,0.668,-6.915,0.0257,0.000102,0.0769,0.833,74.994,224165,classic indonesian rock
The Rock,Master Mister Ahmad Dhani I,Aku Cinta Kau Dan Dia,3xzLCrg0gir5YKT4o0V6zs,0.589,0.725,-6.265,0.0611,0,0.32,0.731,165.873,291782,classic indonesian rock
Barasuara,Taifun,Api dan Lentera,2RAmryNNQLMNqVIZil60mt,0.389,0.84,-5.88,0.0442,0.0233,0.12,0.39,121.087,263637,indonesian indie
Naif,Jangan Terlalu,Posessif,1BCU2dwLoxg17UbuUN9jwV,0.623,0.442,-8.888,0.0264,1.53E-05,0.238,0.444,100,259973,indonesian indie
Pas Band,The BeAst of PAS,Kesepian Kita (feat. Tere),0UDEbnlIXLSmSJMH1BiD7R,0.646,0.716,-7.385,0.0349,0.00316,0.0696,0.636,152.029,287573,classic indonesian rock
Slank,Get Married (Original Motion Picture Soundtrack),Orkes Sakit Hati,0zaPpV8NFXWMTUGZTgFamL,0.4,0.531,-11.694,0.0379,0,0.0934,0.923,131.562,149037,classic indonesian rock
Ayu Ting Ting,Best of Ayu Ting Ting,Sambalado,4QdjHiV03NDZBPgEdZGXJU,0.664,0.938,-3.573,0.0596,0,0.219,0.961,80.07,219827,dangdut
Monita Tahalea,Dandelion,Hai,5sKqRSyLgdttr4No1vXlSV,0.636,0.527,-8.145,0.0254,0.00288,0.126,0.598,105.299,252347,indonesian indie
